,lat,lng,offense
206,45.5204,-122.679,Larceny Offenses
207,45.519,-122.68,Larceny Offenses
208,45.5183,-122.559,Larceny Offenses
209,45.5335,-122.56,Larceny Offenses
210,45.5335,-122.56,Larceny Offenses
211,45.566,-122.661,Larceny Offenses
212,45.5312,-122.68,Larceny Offenses
213,45.4765,-122.537,Larceny Offenses
214,45.5047,-122.578,Larceny Offenses
215,45.5177,-122.676,Larceny Offenses
216,45.5046,-122.492,Larceny Offenses
217,45.5093,-122.678,Larceny Offenses
218,45.547,-122.662,Larceny Offenses
219,45.467,-122.564,Larceny Offenses
220,45.5642,-122.747,Larceny Offenses
221,45.5344,-122.663,Larceny Offenses
222,45.5122,-122.574,Larceny Offenses
223,45.5191,-122.582,Larceny Offenses
224,45.5159,-122.592,Larceny Offenses
225,45.5277,-122.695,Larceny Offenses
226,45.4435,-122.674,Larceny Offenses
229,45.5915,-122.727,Larceny Offenses
230,45.4847,-122.675,Larceny Offenses
231,45.5193,-122.633,Larceny Offenses
232,45.5191,-122.506,Larceny Offenses
233,45.5573,-122.611,Motor Vehicle Theft
234,45.5221,-122.682,Motor Vehicle Theft
235,45.4925,-122.596,Motor Vehicle Theft
236,45.5024,-122.657,Motor Vehicle Theft
237,45.4959,-122.568,Motor Vehicle Theft
238,45.5228,-122.648,Robbery
239,45.5193,-122.623,Robbery
240,45.5224,-122.538,Vandalism
241,45.5358,-122.621,Vandalism
242,45.5852,-122.697,Vandalism
243,45.4763,-122.569,Vandalism
244,45.5114,-122.578,Vandalism
245,45.4759,-122.586,Vandalism
246,45.5031,-122.574,Vandalism
247,45.512,-122.625,Vandalism
249,45.5579,-122.492,Vandalism
250,45.491,-122.489,Drug/Narcotic Offenses
251,45.5335,-122.56,Drug/Narcotic Offenses
252,45.5758,-122.657,Prostitution Offenses
253,45.4837,-122.581,Weapon Law Violations
254,45.4861,-122.675,Embezzlement
258,45.5514,-122.659,Larceny Offenses
259,45.5644,-122.576,Larceny Offenses
260,45.5759,-122.566,Larceny Offenses
261,45.5236,-122.574,Larceny Offenses
264,45.5797,-122.643,Larceny Offenses
265,45.5174,-122.554,Larceny Offenses
266,45.5203,-122.556,Burglary
267,45.5929,-122.68,Larceny Offenses
268,45.5515,-122.555,Larceny Offenses
270,45.5421,-122.634,Larceny Offenses
271,45.555,-122.51,Motor Vehicle Theft
272,45.555,-122.51,Vandalism
273,45.4758,-122.561,Larceny Offenses
274,45.5283,-122.662,Larceny Offenses
275,45.4957,-122.637,Vandalism
277,45.5294,-122.666,Larceny Offenses
278,45.5233,-122.683,Larceny Offenses
279,45.5318,-122.652,Motor Vehicle Theft
282,45.5229,-122.657,Larceny Offenses
283,45.5765,-122.664,Larceny Offenses
284,45.5155,-122.666,Larceny Offenses
285,45.4936,-122.581,Larceny Offenses
286,45.5304,-122.659,Larceny Offenses
287,45.4882,-122.593,Motor Vehicle Theft
288,45.5853,-122.719,Vandalism
289,45.4951,-122.522,Vandalism
290,45.512,-122.627,Vandalism
291,45.5237,-122.679,Assault Offenses
294,45.4881,-122.648,Arson
295,45.4881,-122.648,Burglary
296,45.5628,-122.648,Burglary
297,45.52,-122.676,Larceny Offenses
298,45.4784,-122.626,Larceny Offenses
299,45.4975,-122.581,Larceny Offenses
300,45.544,-122.644,Larceny Offenses
301,45.5194,-122.704,Larceny Offenses
302,45.5094,-122.674,Larceny Offenses
303,45.508,-122.683,Larceny Offenses
304,45.5142,-122.688,Larceny Offenses
305,45.5162,-122.694,Larceny Offenses
306,45.5261,-122.641,Larceny Offenses
307,45.5246,-122.63,Larceny Offenses
308,45.4931,-122.579,Larceny Offenses
309,45.5323,-122.655,Larceny Offenses
310,45.481,-122.595,Larceny Offenses
311,45.5252,-122.694,Larceny Offenses
312,45.4823,-122.517,Larceny Offenses
313,45.5923,-122.731,Larceny Offenses
314,45.5803,-122.728,Larceny Offenses
315,45.518,-122.506,Larceny Offenses
316,45.5481,-122.573,Motor Vehicle Theft
318,45.5248,-122.681,Motor Vehicle Theft
319,45.5222,-122.649,Vandalism
320,45.4953,-122.583,Vandalism
321,45.5223,-122.7,Vandalism
322,45.6159,-122.691,Vandalism
323,45.5824,-122.689,Vandalism
324,45.5283,-122.659,Vandalism
325,45.5175,-122.549,Vandalism
326,45.5121,-122.628,Vandalism
327,45.5813,-122.728,Vandalism
328,45.4687,-122.589,Assault Offenses
329,45.515,-122.499,Assault Offenses
330,45.515,-122.499,Assault Offenses
331,45.5221,-122.68,Assault Offenses
332,45.5206,-122.684,Assault Offenses
333,45.5206,-122.684,Assault Offenses
334,45.5206,-122.684,Assault Offenses
335,45.5409,-122.665,Assault Offenses
337,45.5567,-122.664,Assault Offenses
338,45.4836,-122.572,Assault Offenses
339,45.5232,-122.672,Assault Offenses
340,45.5201,-122.54,Assault Offenses
342,45.5259,-122.674,Assault Offenses
343,45.5547,-122.53,Assault Offenses
345,45.5594,-122.64,Assault Offenses
349,45.5313,-122.562,Assault Offenses
357,45.5285,-122.642,Burglary
358,45.5533,-122.661,Burglary
359,45.5333,-122.659,Burglary
360,45.5293,-122.596,Burglary
